level1,level2,pattern,weight
liwc,present,understand,1
liwc,present,understands,1
liwc,present,use,1
liwc,present,uses,1
liwc,present,using,1
liwc,present,wait,1
liwc,present,waits,1
liwc,present,want,1
liwc,present,wants,1
liwc,present,we,1
liwc,present,whats,1
liwc,present,what,1
liwc,present,wheres,1
liwc,present,where,1
liwc,present,whos,1
liwc,present,who,1
liwc,present,wish,1
liwc,present,wishes,1
liwc,present,wonder,1
liwc,present,youre,1
liwc,present,you,1
liwc,present,youve,1
liwc,future,couldve,1
liwc,future,could,1
liwc,future,gonna,1
liwc,future,gotta,1
liwc,future,he,1
liwc,future,I,1
liwc,future,itll,1
liwc,future,it,1
liwc,future,may,1
liwc,future,might,1
liwc,future,must,1
liwc,future,mustnt,1
liwc,future,mustn,1
liwc,future,mustve,1
liwc,future,ought,1
liwc,future,oughta,1
liwc,future,oughtnt,1
liwc,future,oughtn,1
liwc,future,oughtve,1
liwc,future,shall,1
liwc,future,she,1
liwc,future,should,1
liwc,future,shouldnt,1
liwc,future,shouldn,1
liwc,future,shouldve,1
liwc,future,thatll,1
liwc,future,that,1
liwc,future,theyll,1
liwc,future,they,1
liwc,future,we,1
liwc,future,wholl,1
liwc,future,who,1
liwc,future,will,1
liwc,future,wont,1
liwc,future,won,1
liwc,future,would,1
liwc,future,wouldnt,1
liwc,future,wouldn,1
liwc,future,wouldve,1
liwc,future,youll,1
liwc,future,you,1
liwc,social,acquainta*,1
liwc,social,admit,1
liwc,social,admits,1
liwc,social,admitted,1
liwc,social,admitting,1
liwc,social,adult,1
liwc,social,adults,1
liwc,social,advice,1
liwc,social,advis*,1
liwc,social,affair*,1
liwc,social,amigo*,1
liwc,social,anybod*,1
liwc,social,anyone*,1
liwc,social,apolog*,1
liwc,social,argu*,1
liwc,social,armies,1
liwc,social,army,1
liwc,social,ask,1
liwc,social,asked,1
liwc,social,asking,1
liwc,social,asks,1
liwc,social,assembl*,1
liwc,social,aunt*,1
liwc,social,babe*,1
liwc,social,babies,1
liwc,social,baby*,1
liwc,social,bambino*,1
liwc,social,band,1
liwc,social,bands,1
liwc,social,bf*,1
liwc,social,blam*,1
liwc,social,boy,1
liwc,social,boyf*,1
liwc,social,boys*,1
liwc,social,bro,1
liwc,social,bros,1
liwc,social,brother*,1
liwc,social,bud,1
liwc,social,buddies*,1
liwc,social,buddy*,1
liwc,social,bye,1
liwc,social,call,1
liwc,social,called,1
liwc,social,caller*,1
liwc,social,calling,1
liwc,social,calls,1
liwc,social,captain,1
liwc,social,celebrat*,1
liwc,social,cell,1
liwc,social,cellphon*,1
liwc,social,cells,1
liwc,social,cellular*,1
liwc,social,chat*,1
liwc,social,chick,1
liwc,social,chicks,1
liwc,social,child,1
liwc,social,children*,1
liwc,social,citizen,1
liwc,social,citizens,1
liwc,social,colleague*,1
liwc,social,comment*,1
liwc,social,commun*,1
liwc,social,companion,1
liwc,social,companions,1
liwc,social,companionship*,1
liwc,social,compassion*,1
liwc,social,complain*,1
liwc,social,comrad*,1
liwc,social,confess*,1
liwc,social,confide,1
liwc,social,confided,1
liwc,social,confides,1
liwc,social,confiding,1
liwc,social,congregat*,1
liwc,social,consult*,1
liwc,social,contact*,1
liwc,social,contradic*,1
liwc,social,convers*,1
liwc,social,counc*,1
liwc,social,couns*,1
liwc,social,cousin*,1
liwc,social,coworker*,1
liwc,social,crowd*,1
liwc,social,cultur*,1
liwc,social,dad*,1
liwc,social,dating,1
liwc,social,daughter*,1
liwc,social,deal,1
liwc,social,describe,1
liwc,social,described,1
liwc,social,describes,1
